TYPE	YEAR	WIN8	WIN7-	WINPH	iOS	OSXI	OSX	AND	LINUX	RIM	SYM	OTH	TOTAL
PCS	2010	0	1145				74		12				1231
PCS	2011	0	1262				75		14				1351
PCS	2012	0	1339				77		16				1432
PCS	2013	300	1071				80		20				1471
PCS	2014	540	857				83		25				1505
PCS	2015	730	686				86		32				1534
PCS	2016	879	549				90		42				1560
PCS	2017	995	439				94		55				1583
TAB	2010	0			14			2		0		0	16
TAB	2011	0			50			18		1		2	71
TAB	2012	5			121			40		3		2	171
TAB	2013	20			200			101		4		2	327
TAB	2014	39			283			167		3		1	493
TAB	2015	63			373			245		2		0	683
TAB	2016	97			474			340		1		0	912
TAB	2017	133			591			444		0		0	1168
SMP	2010			34	70			86		84	221	53	548
SMP	2011			33	137			278		107	235	48	838
SMP	2012			40	219			635		105	187	50	1236
SMP	2013			55	322			1147		98	130	47	1799
SMP	2014			81	416			1581		90	87	47	2302
SMP	2015			123	507			1974		82	58	49	2793
SMP	2016			190	601			2353		74	39	54	3311
SMP	2017			294	701			2737		66	26	60	3884
